,campus,lon,lat,total,pop,rate,state
134,Ball State University,-85.406986,40.2061028,551,287688,1.92,indiana
135,Bank Street College of Education,-73.9664929,40.8056966,91,14349,6.34,new york
136,Baptist Bible College,-93.2853642,37.2397278,46,8293,5.55,missouri
137,Baptist Bible College & Seminary of Pennsylvania,-75.6854254,41.4951198,16,13225,1.21,pennsylvania
138,Baptist Health System School of Health Professions,-98.568129,29.516944,34,3413,9.96,texas
139,Baptist Memorial College of Health Sciences,-90.0276951,35.1389074,14,12595,1.11,tennessee
140,Baptist Missionary Association Theological Seminary,-95.2555359,31.9789669,1,1550,0.65,texas
141,Baptist Theological Seminary at Richmond,-77.4684553,37.6323401,12,2039,5.89,virginia
2438,Baptist University of the Americas,-98.5460996,29.3499665,14,1897,7.38,texas
142,Barclay College,-99.104887,37.620996,2,2704,0.74,kansas
143,Bard College,-73.9100544,42.0203897,227,29897,7.59,new york
144,Bard College at Simon's Rock,-73.378238,42.207976,89,5408,16.46,massachusetts
145,Barnard College,-73.9639632,40.8090974,120,33288,3.6,new york
146,Barnes-Jewish College Goldfarb School of Nursing,-90.2588788,38.6370514,13,10077,1.29,missouri
147,Barry University,-80.1963047,25.8791435,175,124384,1.41,florida
148,Barton College,-77.9162702,35.7351078,57,15061,3.78,north carolina
149,Bastyr University,-122.251922,47.729951,35,15116,2.32,washington
150,Bates College,-70.2021865,44.1057216,300,22684,13.23,maine
151,Bauder College,-84.4001851,33.7672724,26,11750,2.21,georgia
152,Bay Path University,-72.5838321,42.0555616,20,24794,0.81,massachusetts
153,Bay State College,-71.0769203,42.3517285,45,10824,4.16,massachusetts
154,Baylor College of Medicine,-95.3961698,29.7104397,13,19598,0.66,texas
155,Baylor University,-97.1143146,31.549841,318,204632,1.55,texas
2766,Be'er Yaakov Talmudic Seminary,-74.0284057,41.139178,1,935,1.07,new york
156,Becker College,-71.811918,42.2670243,212,24046,8.82,massachusetts
157,Beckfield College-Florence,-84.641397,39.0172165,2,8980,0.22,kentucky
158,Belhaven University,-90.1688125,32.3198513,143,39749,3.6,mississippi
159,Bellarmine University,-85.70486,38.219141,57,44538,1.28,kentucky
160,Bellevue College,-122.1484161,47.5855425,245,169887,1.44,washington
161,Bellevue University,-95.920499,41.1509234,17,106972,0.16,nebraska
163,Belmont Abbey College,-81.0431492,35.2621669,110,18243,6.03,north carolina
164,Belmont University,-86.7940699,36.1328981,136,71107,1.91,tennessee
165,Beloit College,-89.0309048,42.5030333,259,17577,14.74,wisconsin
166,Bemidji State University,-94.8754557,47.4863158,200,68811,2.91,minnesota
167,Benedict College,-81.020461,34.012867,1510,39375,38.35,south carolina
168,Benedictine College,-95.1113744,39.5731522,68,24706,2.75,kansas
169,Benedictine University,-88.0967798,41.7783779,103,68314,1.51,illinois
170,Benjamin Franklin Institute of Technology,-71.070193,42.346037,6,5891,1.02,massachusetts
171,Bennett College,-79.779216,36.067872,21,8789,2.39,north carolina
172,Bennington College,-73.2359361,42.9202725,27,10519,2.57,vermont
173,Bentley University,-71.22168,42.3856989,484,78754,6.15,massachusetts
174,Berea College,-147.8676213,64.836629,298,22392,13.31,kentucky
2703,Bergin University of Canine Studies,-122.7207466,38.3536853,3,187,16.04,california
175,Berkeley College-New York,-73.979561,40.7539343,13,50061,0.26,new york
176,Berkeley College-Woodland Park,-74.1872249,40.9004188,9,41561,0.22,new jersey
177,Berklee College of Music,-71.0895292,42.3465952,125,57391,2.18,massachusetts
178,Berry College,-85.1892,34.2904,133,28276,4.7,georgia
179,Beth Hamedrash Shaarei Yosher Institute,-73.981136,40.635444,1,884,1.13,new york
181,Beth Medrash Govoha,-74.2225005,40.0962562,4,74338,0.05,new jersey
182,Bethany College,-80.559834,40.206055,469,19584,23.95,west virginia
183,Bethany Lutheran College,-93.990284,44.166156,38,7395,5.14,minnesota
184,Bethany Theological Seminary,-84.9106908,39.8261568,42,919,45.7,indiana
2704,Bethel College,-86.196199,41.678297,4,247,16.19,indiana
185,Bethel College-Indiana,-86.196199,41.678297,87,27404,3.17,indiana
186,Bethel College-North Newton,-97.3425835,38.0747608,44,6942,6.34,kansas
187,Bethel Seminary-San Diego,-117.0661182,32.7654549,1,2376,0.42,california
188,Bethel University,-93.1610252,45.0581152,317,99770,3.18,minnesota
189,Bethesda University,-117.9413646,33.842355,2,3805,0.53,california
190,Bethune-Cookman University,-81.0322912,29.2120348,254,46431,5.47,florida
